date,1w,2w,1m,2m,3m,6m,9m,1y
2021/1/29,0.0017022,0.0024044,0.00386,0.0043978,0.0047978,0.0056867,0.0070067,0.0084044
2021/1/28,0.0017022,0.0024044,0.00386,0.0043967,0.0047967,0.0056856,0.0070056,0.0084033
2021/1/27,0.0017022,0.0024044,0.00386,0.0043967,0.0047967,0.0056856,0.0070056,0.0084044
2021/1/26,0.0017022,0.0024056,0.00386,0.0043978,0.0047978,0.0056867,0.0070067,0.0084056
2021/1/25,0.0017022,0.0024067,0.0038611,0.0043989,0.0047978,0.0056878,0.0070078,0.0084067
2021/1/22,0.0017022,0.0024056,0.0038611,0.0043978,0.0047978,0.0056867,0.0070067,0.0084056
2021/1/21,0.0017022,0.0024056,0.0038611,0.0043989,0.0047978,0.0056878,0.0070078,0.0084056
2021/1/20,0.0017022,0.0024044,0.0038611,0.0043978,0.0047978,0.0056867,0.0070067,0.0084044
2021/1/19,0.0017022,0.0024044,0.0038611,0.0043978,0.0047978,0.0056867,0.0070067,0.0084044
2021/1/18,0.0017022,0.0024044,0.0038611,0.0043967,0.0047967,0.0056856,0.0070056,0.0084044
2021/1/15,0.0017022,0.0024056,0.0038633,0.0043978,0.0047978,0.0056867,0.0070067,0.0084056
2021/1/14,0.0017022,0.0024056,0.0038633,0.0043989,0.0047978,0.0056878,0.0070078,0.0084056
2021/1/13,0.0017022,0.0024044,0.0038633,0.0043978,0.0047978,0.0056867,0.0070067,0.0084044
2021/1/12,0.0017022,0.0024033,0.0038633,0.0043967,0.0047967,0.0056856,0.0070056,0.0084033
2021/1/11,0.0017022,0.0024044,0.0038633,0.0043967,0.0047967,0.0056856,0.0070056,0.0084044
2021/1/8,0.0017022,0.0024056,0.0038633,0.0044022,0.0047978,0.0056867,0.0070067,0.0084056
2021/1/7,0.0017022,0.0024056,0.0038633,0.0044022,0.0047978,0.0056867,0.0070067,0.0084056
2021/1/6,0.0017022,0.0024067,0.0038633,0.0044033,0.0047978,0.0056878,0.0070078,0.0084067
2021/1/5,0.0017022,0.0024056,0.0038633,0.0044022,0.0047978,0.0056867,0.0070067,0.0084056
2021/1/4,0.0017022,0.0024067,0.0038633,0.0044033,0.0047978,0.0056878,0.0070078,0.0084067
2021/2/26,0.0017022,0.0024033,0.00386,0.0043967,0.0047978,0.0056867,0.0070067,0.0084044
2021/2/25,0.0017022,0.0024033,0.00386,0.0043956,0.0047967,0.0056856,0.0070056,0.0084033
2021/2/24,0.0017022,0.0024033,0.00386,0.0043956,0.0047967,0.0056856,0.0070056,0.0084044
2021/2/23,0.0017022,0.0024044,0.00386,0.0043978,0.0047978,0.0056878,0.0070078,0.0084067
2021/2/22,0.0017022,0.0024033,0.00386,0.0043967,0.0047978,0.0056867,0.0070067,0.0084056
2021/2/20,0.0017022,0.0024033,0.00386,0.0043967,0.0047978,0.0056867,0.0070067,0.0084056
2021/2/19,0.0017022,0.0024044,0.00386,0.0043978,0.0047978,0.0056878,0.0070078,0.0084067
2021/2/18,0.0017022,0.0024044,0.00386,0.0043967,0.0047978,0.0056867,0.0070067,0.0084056
2021/2/17,0.0017022,0.0024056,0.00386,0.0043989,0.0047978,0.0056878,0.0070078,0.0084067
2021/2/9,0.0017033,0.0024067,0.0038611,0.0044,0.0047978,0.0056889,0.0070089,0.0084078
2021/2/8,0.0017033,0.0024067,0.0038611,0.0044,0.0047978,0.0056889,0.0070089,0.0084078
2021/2/5,0.0017022,0.0024056,0.00386,0.0043989,0.0047978,0.0056878,0.0070078,0.0084067
2021/2/4,0.0017022,0.0024056,0.00386,0.0043989,0.0047978,0.0056878,0.0070078,0.0084067
2021/2/3,0.0017033,0.0024056,0.0038611,0.0044,0.0047978,0.0056889,0.0070089,0.0084078
2021/2/2,0.0017022,0.0024044,0.00386,0.0043989,0.0047978,0.0056878,0.0070078,0.0084056
2021/2/1,0.0017022,0.0024033,0.00386,0.0043978,0.0047978,0.0056867,0.0070067,0.0084044
2021/3/31,0.0017078,0.0024089,0.0038778,0.0044011,0.0047989,0.0056878,0.0070067,0.0084011
2021/3/30,0.0017078,0.0024089,0.0038778,0.0044011,0.0047989,0.0056878,0.0070067,0.0084011
2021/3/29,0.0017078,0.0024089,0.0038778,0.0044,0.0047978,0.0056867,0.0070056,0.0084
2021/3/26,0.0017078,0.0024089,0.0038778,0.0044011,0.0047989,0.0056878,0.0070067,0.0084011
2021/3/25,0.0017078,0.00241,0.0038778,0.0044022,0.0048,0.0056889,0.0070078,0.0084022
2021/3/24,0.0017078,0.0024089,0.0038778,0.0044011,0.0047989,0.0056878,0.0070067,0.0084011
2021/3/23,0.0017078,0.0024089,0.0038778,0.0044011,0.0047989,0.0056878,0.0070067,0.0084011
2021/3/22,0.0017078,0.0024089,0.0038778,0.0044,0.0047978,0.0056867,0.0070056,0.0084
2021/3/19,0.0017078,0.0024089,0.0038778,0.0044011,0.0047989,0.0056878,0.0070067,0.0084011
2021/3/18,0.0017078,0.0024089,0.0038778,0.0044011,0.0047989,0.0056878,0.0070067,0.0084011
2021/3/17,0.0017067,0.0024089,0.0038767,0.0044011,0.0047989,0.0056878,0.0070056,0.0084011
2021/3/16,0.0017033,0.0024056,0.0038733,0.0043967,0.0047967,0.0056867,0.0070011,0.0084
2021/3/15,0.0017033,0.0024056,0.0038733,0.0043978,0.0047978,0.0056878,0.0070022,0.0084022
2021/3/12,0.0017033,0.0024067,0.0038733,0.0043989,0.0047989,0.0056889,0.0070033,0.0084078
2021/3/11,0.0017033,0.0024056,0.0038733,0.0043978,0.0047978,0.0056878,0.0070022,0.0084067
2021/3/10,0.0017033,0.0024056,0.0038733,0.0043989,0.0047989,0.0056889,0.0070033,0.0084078
2021/3/9,0.0017022,0.0024033,0.0038722,0.0043967,0.0047978,0.0056867,0.0070011,0.0084056
2021/3/8,0.0017022,0.0024033,0.0038722,0.0043967,0.0047978,0.0056867,0.0070011,0.0084056
2021/3/5,0.0017022,0.0024044,0.0038722,0.0043978,0.0047978,0.0056878,0.0070022,0.0084067
2021/3/4,0.0017022,0.0024033,0.0038722,0.0043967,0.0047978,0.0056867,0.0070011,0.0084056
2021/3/3,0.0017022,0.0024033,0.0038711,0.0043967,0.0047978,0.0056867,0.0070011,0.0084056
2021/3/2,0.0017022,0.0024044,0.00386,0.0043978,0.0047978,0.0056878,0.0070033,0.0084056
